geo,country_name,year,size_class,size_label,value
FI,Finland,2018,10-49,Small (10-49 employees),8.51
FI,Finland,2018,50-249,Medium (50-249 employees),16.47
FI,Finland,2018,GE250,Large (250+ employees),33.56
FI,Finland,2020,10-49,Small (10-49 employees),7.69
FI,Finland,2020,50-249,Medium (50-249 employees),19.14
FI,Finland,2020,GE250,Large (250+ employees),36.72
FI,Finland,2022,10-49,Small (10-49 employees),6.42
FI,Finland,2022,50-249,Medium (50-249 employees),17.59
FI,Finland,2022,GE250,Large (250+ employees),34.0
FR,France,2018,10-49,Small (10-49 employees),6.21
FR,France,2018,50-249,Medium (50-249 employees),14.18
FR,France,2018,GE250,Large (250+ employees),26.52
FR,France,2020,10-49,Small (10-49 employees),6.46
FR,France,2020,50-249,Medium (50-249 employees),14.12
FR,France,2020,GE250,Large (250+ employees),31.35
FR,France,2022,10-49,Small (10-49 employees),6.0
FR,France,2022,50-249,Medium (50-249 employees),11.96
FR,France,2022,GE250,Large (250+ employees),23.98
HR,Croatia,2020,10-49,Small (10-49 employees),5.72
HR,Croatia,2020,50-249,Medium (50-249 employees),12.63
HR,Croatia,2020,GE250,Large (250+ employees),20.88
HR,Croatia,2022,10-49,Small (10-49 employees),1.4
HR,Croatia,2022,50-249,Medium (50-249 employees),13.5
HR,Croatia,2022,GE250,Large (250+ employees),40.33
HU,Hungary,2018,10-49,Small (10-49 employees),1.87
HU,Hungary,2018,50-249,Medium (50-249 employees),7.6
HU,Hungary,2018,GE250,Large (250+ employees),24.82
HU,Hungary,2020,10-49,Small (10-49 employees),2.68
HU,Hungary,2020,50-249,Medium (50-249 employees),10.03
HU,Hungary,2020,GE250,Large (250+ employees),27.06
HU,Hungary,2022,10-49,Small (10-49 employees),2.06
HU,Hungary,2022,50-249,Medium (50-249 employees),9.52
HU,Hungary,2022,GE250,Large (250+ employees),31.87
IE,Ireland,2020,10-49,Small (10-49 employees),1.15
IE,Ireland,2020,50-249,Medium (50-249 employees),3.56
IE,Ireland,2020,GE250,Large (250+ employees),8.62
IE,Ireland,2022,10-49,Small (10-49 employees),2.06
IE,Ireland,2022,50-249,Medium (50-249 employees),8.35
IE,Ireland,2022,GE250,Large (250+ employees),19.63
IT,Italy,2018,10-49,Small (10-49 employees),7.41
IT,Italy,2018,50-249,Medium (50-249 employees),17.17
IT,Italy,2018,GE250,Large (250+ employees),26.23
IT,Italy,2020,10-49,Small (10-49 employees),7.19
IT,Italy,2020,50-249,Medium (50-249 employees),19.29
IT,Italy,2020,GE250,Large (250+ employees),29.0
IT,Italy,2022,10-49,Small (10-49 employees),6.89
IT,Italy,2022,50-249,Medium (50-249 employees),19.36
IT,Italy,2022,GE250,Large (250+ employees),29.83
LT,Lithuania,2018,10-49,Small (10-49 employees),2.25
LT,Lithuania,2018,50-249,Medium (50-249 employees),5.37
LT,Lithuania,2018,GE250,Large (250+ employees),18.29
LT,Lithuania,2020,10-49,Small (10-49 employees),3.0
LT,Lithuania,2020,50-249,Medium (50-249 employees),9.15
LT,Lithuania,2020,GE250,Large (250+ employees),22.52
LT,Lithuania,2022,10-49,Small (10-49 employees),2.77
LT,Lithuania,2022,50-249,Medium (50-249 employees),10.29
LT,Lithuania,2022,GE250,Large (250+ employees),26.24
LU,Luxembourg,2020,10-49,Small (10-49 employees),4.0
LU,Luxembourg,2020,50-249,Medium (50-249 employees),9.22
LU,Luxembourg,2020,GE250,Large (250+ employees),23.25
LU,Luxembourg,2022,10-49,Small (10-49 employees),3.0
LU,Luxembourg,2022,50-249,Medium (50-249 employees),8.94
LU,Luxembourg,2022,GE250,Large (250+ employees),22.0
LV,Latvia,2020,10-49,Small (10-49 employees),2.14
LV,Latvia,2020,50-249,Medium (50-249 employees),7.92
LV,Latvia,2020,GE250,Large (250+ employees),15.01
LV,Latvia,2022,10-49,Small (10-49 employees),3.18
LV,Latvia,2022,50-249,Medium (50-249 employees),12.81
LV,Latvia,2022,GE250,Large (250+ employees),25.64
ME,Montenegro,2020,10-49,Small (10-49 employees),0.96
